socket,node,bw
1-2-5-7,2,7340.724999999999
1-2-5-7,3,5880.75
1-2-5-7,4,5492.125
1-2-5-7,5,6665.5
1-2-5-7,6,5658.549999999999
1-2-5-7,7,7054.200000000001
1-2-6-7,0,5982.549999999999
1-2-6-7,1,4484.175
1-2-6-7,2,7190.549999999999
1-2-6-7,3,5318.125
1-2-6-7,4,4086.375
1-2-6-7,5,4120.650000000001
1-2-6-7,6,5125.200000000001
1-2-6-7,7,7209.35
1-3-4-5,0,4185.75
1-3-4-5,1,4364.3
1-3-4-5,2,6030.6
1-3-4-5,3,7183.0
1-3-4-5,4,7618.975
1-3-4-5,5,6758.875
1-3-4-5,6,5786.75
1-3-4-5,7,4724.875
1-3-4-6,0,5582.3
1-3-4-6,1,6478.25
1-3-4-6,2,6769.25
1-3-4-6,3,6928.225
1-3-4-6,4,7276.375
1-3-4-6,5,5127.45
1-3-4-6,6,5583.45
1-3-4-6,7,4351.775
1-3-4-7,0,5402.65
1-3-4-7,1,7077.924999999999
1-3-4-7,2,6789.625
1-3-4-7,3,6952.700000000001
1-3-4-7,4,6090.55
1-3-4-7,5,6406.775
1-3-4-7,6,5351.475
1-3-4-7,7,6270.700000000001
1-3-5-6,0,5405.075
1-3-5-6,1,5956.6
1-3-5-6,2,6025.35
1-3-5-6,3,6929.35
1-3-5-6,4,6899.75
1-3-5-6,5,6342.875
1-3-5-6,6,5729.325000000001
1-3-5-6,7,6503.625
1-3-5-7,0,4910.05
1-3-5-7,1,6010.275
1-3-5-7,2,6028.775
1-3-5-7,3,6949.45
1-3-5-7,4,5419.35
1-3-5-7,5,6888.750000000001
1-3-5-7,6,4892.875
1-3-5-7,7,5872.825
1-3-6-7,0,5412.875
1-3-6-7,1,4813.549999999999
1-3-6-7,2,6743.65
1-3-6-7,3,6585.075
1-3-6-7,4,4076.075
1-3-6-7,5,4332.875
1-3-6-7,6,4611.425
1-3-6-7,7,6338.624999999999
1-4-5-6,0,4368.700000000001
1-4-5-6,1,3710.4
1-4-5-6,2,6497.625
1-4-5-6,3,6467.4
1-4-5-6,4,6901.075000000001
1-4-5-6,5,5710.6
1-4-5-6,6,6087.474999999999
1-4-5-6,7,4520.05
1-4-5-7,0,4770.625
1-4-5-7,1,4743.925
1-4-5-7,2,6523.799999999999
1-4-5-7,3,6479.85
1-4-5-7,4,5081.55
1-4-5-7,5,6701.049999999999
1-4-5-7,6,5625.25
1-4-5-7,7,4756.925
1-4-6-7,0,6259.5
1-4-6-7,1,4902.174999999999
1-4-6-7,2,6616.15
1-4-6-7,3,6125.174999999999
1-4-6-7,4,4543.475
1-4-6-7,5,4543.95
1-4-6-7,6,5099.65
1-4-6-7,7,5610.0
1-5-6-7,0,6073.075000000001
1-5-6-7,1,4355.95
1-5-6-7,2,6504.975
1-5-6-7,3,5606.150000000001
1-5-6-7,4,4637.675
1-5-6-7,5,4877.5
1-5-6-7,6,5837.45
1-5-6-7,7,7323.724999999999
2-3-4-5,0,2779.6
2-3-4-5,1,2816.55
2-3-4-5,2,7817.65
2-3-4-5,3,7186.275
2-3-4-5,4,7644.25
2-3-4-5,5,7464.075000000001
2-3-4-5,6,3953.725
2-3-4-5,7,3320.2999999999997
2-3-4-6,0,4023.5
2-3-4-6,1,3858.75
2-3-4-6,2,7660.55
2-3-4-6,3,6997.825000000001
2-3-4-6,4,7295.25
2-3-4-6,5,4779.075
2-3-4-6,6,4515.0
2-3-4-6,7,4656.05
2-3-4-7,0,4231.15
2-3-4-7,1,4048.5
2-3-4-7,2,7629.825000000001
2-3-4-7,3,7384.674999999999
2-3-4-7,4,6076.1
2-3-4-7,5,6919.475
2-3-4-7,6,4384.8
2-3-4-7,7,4307.875
2-3-5-6,0,3766.9749999999995
2-3-5-6,1,3828.325
