socket,node,bw
1-3-4-6,2,6721.875
1-3-4-6,3,6593.575
1-3-4-6,4,7239.25
1-3-4-6,5,5435.125
1-3-4-6,6,5607.924999999999
1-3-4-6,7,4344.125
1-3-4-7,0,5400.3
1-3-4-7,1,7070.400000000001
1-3-4-7,2,6765.900000000001
1-3-4-7,3,6997.425
1-3-4-7,4,6067.35
1-3-4-7,5,6393.9
1-3-4-7,6,5303.0
1-3-4-7,7,6276.825000000001
1-3-5-6,0,5405.275
1-3-5-6,1,5937.075000000001
1-3-5-6,2,6008.275000000001
1-3-5-6,3,6943.700000000001
1-3-5-6,4,6870.8
1-3-5-6,5,6344.575000000001
1-3-5-6,6,5739.749999999999
1-3-5-6,7,6485.85
1-3-5-7,0,4760.075
1-3-5-7,1,5981.65
1-3-5-7,2,5732.95
1-3-5-7,3,6947.7
1-3-5-7,4,5420.325000000001
1-3-5-7,5,6869.725
1-3-5-7,6,4909.925
1-3-5-7,7,5895.175000000001
1-3-6-7,0,5409.049999999999
1-3-6-7,1,4818.65
1-3-6-7,2,6720.75
1-3-6-7,3,6597.25
1-3-6-7,4,4084.125
1-3-6-7,5,4365.675
1-3-6-7,6,4830.525
1-3-6-7,7,6376.424999999999
1-4-5-6,0,4333.85
1-4-5-6,1,3817.475
1-4-5-6,2,6465.025
1-4-5-6,3,6480.200000000001
1-4-5-6,4,7355.375
1-4-5-6,5,6092.625
1-4-5-6,6,6105.475
1-4-5-6,7,4542.200000000001
1-4-5-7,0,5018.7
1-4-5-7,1,4742.175
1-4-5-7,2,6498.925
1-4-5-7,3,6498.0
1-4-5-7,4,5080.75
1-4-5-7,5,6694.7
1-4-5-7,6,5638.075
1-4-5-7,7,4771.924999999999
1-4-6-7,0,6257.7
1-4-6-7,1,5209.4
1-4-6-7,2,6469.75
1-4-6-7,3,6137.65
1-4-6-7,4,4555.099999999999
1-4-6-7,5,4565.55
1-4-6-7,6,5129.724999999999
1-4-6-7,7,5619.525
1-5-6-7,0,6065.375
1-5-6-7,1,4363.15
1-5-6-7,2,6481.674999999999
1-5-6-7,3,5595.225
1-5-6-7,4,4636.575
1-5-6-7,5,4564.05
1-5-6-7,6,5853.4
1-5-6-7,7,7340.675
2-3-4-5,0,2778.1000000000004
2-3-4-5,1,2804.3750000000005
2-3-4-5,2,7757.85
2-3-4-5,3,7198.225
2-3-4-5,4,7601.775
2-3-4-5,5,7452.549999999999
2-3-4-5,6,3956.15
2-3-4-5,7,3326.6
2-3-4-6,0,4015.5249999999996
2-3-4-6,1,3867.1
2-3-4-6,2,7595.075000000001
2-3-4-6,3,6753.550000000001
2-3-4-6,4,7258.95
2-3-4-6,5,4796.825
2-3-4-6,6,4506.425
2-3-4-6,7,4462.725
2-3-4-7,0,4219.05
2-3-4-7,1,4064.725
