processor,node,bw
1-5-6-7,0,5987.95
1-5-6-7,1,4580.075
1-5-6-7,2,6481.85
1-5-6-7,3,5703.925
1-5-6-7,4,5129.8
1-5-6-7,5,5827.375
1-5-6-7,6,6080.325000000001
1-5-6-7,7,7134.200000000001
2-3-4-5,0,3038.3999999999996
2-3-4-5,1,3020.575
2-3-4-5,2,7780.025000000001
2-3-4-5,3,7059.45
2-3-4-5,4,7619.549999999999
2-3-4-5,5,7462.6
2-3-4-5,6,4191.75
2-3-4-5,7,3287.3500000000004
2-3-4-6,0,4019.625
2-3-4-6,1,3850.55
2-3-4-6,2,7461.825000000001
2-3-4-6,3,6958.45
2-3-4-6,4,7224.925
2-3-4-6,5,5104.65
2-3-4-6,6,5046.175
2-3-4-6,7,4476.8
2-3-4-7,0,4271.325
2-3-4-7,1,4050.75
2-3-4-7,2,7640.85
2-3-4-7,3,7536.15
2-3-4-7,4,6365.700000000001
2-3-4-7,5,6950.499999999999
2-3-4-7,6,4717.200000000001
2-3-4-7,7,4748.6
2-3-5-6,0,3918.925
2-3-5-6,1,3806.575
2-3-5-6,2,7888.85
2-3-5-6,3,6114.0
2-3-5-6,4,6903.875
2-3-5-6,5,7009.674999999999
2-3-5-6,6,5101.85
2-3-5-6,7,5163.0
2-3-5-7,0,4186.075
2-3-5-7,1,3932.025
2-3-5-7,2,7877.55
2-3-5-7,3,6724.125
2-3-5-7,4,5474.5
2-3-5-7,5,7262.975
2-3-5-7,6,5201.975
2-3-5-7,7,5319.05
2-3-6-7,0,4159.175
2-3-6-7,1,3745.1249999999995
2-3-6-7,2,7395.05
2-3-6-7,3,5919.700000000001
2-3-6-7,4,4073.25
2-3-6-7,5,4707.9
2-3-6-7,6,5042.35
2-3-6-7,7,5383.175
2-4-5-6,0,4469.450000000001
2-4-5-6,1,4432.474999999999
2-4-5-6,2,7537.75
2-4-5-6,3,5681.174999999999
2-4-5-6,4,7147.85
2-4-5-6,5,5898.425
2-4-5-6,6,6809.1
2-4-5-6,7,4649.475
2-4-5-7,0,4873.25
2-4-5-7,1,3868.5750000000003
2-4-5-7,2,7369.675000000001
2-4-5-7,3,6089.150000000001
2-4-5-7,4,5409.025
2-4-5-7,5,6809.9
2-4-5-7,6,6201.125
2-4-5-7,7,5107.275
2-4-6-7,0,6391.700000000001
2-4-6-7,1,5400.075
2-4-6-7,2,7357.75
2-4-6-7,3,5618.75
2-4-6-7,4,4978.025000000001
2-4-6-7,5,4688.9
2-4-6-7,6,7749.9
2-4-6-7,7,5236.450000000001
2-5-6-7,0,5656.099999999999
2-5-6-7,1,5003.95
2-5-6-7,2,7584.5
2-5-6-7,3,5685.325000000001
2-5-6-7,4,5110.775000000001
2-5-6-7,5,5627.5
2-5-6-7,6,6600.35
2-5-6-7,7,7161.725
3-4-5-6,0,3822.1499999999996
3-4-5-6,1,4379.6
3-4-5-6,2,6906.0
3-4-5-6,3,6578.275000000001
3-4-5-6,4,7156.475
3-4-5-6,5,6725.375
3-4-5-6,6,6289.650000000001
3-4-5-6,7,4670.625
3-4-5-7,0,4490.075000000001
3-4-5-7,1,4813.175
3-4-5-7,2,7133.75
3-4-5-7,3,6523.925
3-4-5-7,4,5358.625
3-4-5-7,5,7426.725
3-4-5-7,6,5988.199999999999
3-4-5-7,7,5080.825
3-4-6-7,0,5829.549999999999
3-4-6-7,1,4835.475
3-4-6-7,2,6875.575
3-4-6-7,3,6533.299999999999
3-4-6-7,4,5010.425
3-4-6-7,5,4876.55
3-4-6-7,6,6513.675
3-4-6-7,7,4861.825000000001
3-5-6-7,0,5680.375
3-5-6-7,1,4457.450000000001
3-5-6-7,2,6928.85
3-5-6-7,3,6578.875
3-5-6-7,4,4844.900000000001
3-5-6-7,5,5422.575000000001
3-5-6-7,6,5946.675
3-5-6-7,7,6098.075
4-5-6-7,0,4315.775
4-5-6-7,1,3088.175
4-5-6-7,2,6645.124999999999
4-5-6-7,3,5975.475
4-5-6-7,4,5186.675
4-5-6-7,5,5111.75
4-5-6-7,6,6624.875
4-5-6-7,7,4770.075
