Number of threads: 
Job ID: 2464
Machine: batman 

/home/jlenis/.bashrc: line 19: .bash_profile: No such file or directory
/usr/lib64/qt-3.3/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/util:/home/jlenis/bin:/opt/intel/bin:/opt/util:/home/jlenis/bin:/opt/intel/bin:/home/jlenis/numa_benchmark/bin/others/pChase/build
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 11: date: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 14: mkdir: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 15: cd: chase-: No such file or directory
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 18: uname: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 19: cat: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 20: cat: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 27: date: command not found
Benchmark initiated at
pointer size (bytes),cache line size (bytes),page size (bytes),chain size (bytes),thread size (bytes),test size (bytes),chains per thread,number of threads,iterations,loop length,prefetch hint,experiments,access pattern,stride,numa placement,offset or mask,numa domains,domain map,operations per chain,total operations,elapsed time (seconds),elapsed time (timer ticks),clock resolution (ns),memory latency (ns),memory bandwidth (MB/s)
8,64,4096,8192,8192,8192,1,1,2712182,25,nta,5,random,1,local,0,1,"0:0",128,128,1.000,45202657,22.12,2.88,22221.893
8,64,4096,8192,8192,8192,1,1,2712182,25,nta,5,random,1,local,0,1,"0:0",128,128,1.000,45195954,22.12,2.88,22225.190
8,64,4096,8192,8192,8192,1,1,2712182,25,nta,5,random,1,local,0,1,"0:0",128,128,0.999,45186984,22.12,2.88,22229.601
8,64,4096,8192,8192,8192,1,1,2712182,25,nta,5,random,1,local,0,1,"0:0",128,128,1.000,45190867,22.12,2.88,22227.691
8,64,4096,8192,8192,8192,1,1,2712182,25,nta,5,random,1,local,0,1,"0:0",128,128,0.999,45186789,22.12,2.88,22229.697
8,64,4096,8192,8192,8192,1,1,2712069,25,t0,5,random,1,local,0,1,"0:0",128,128,0.999,44710833,22.35,2.88,22231.386
8,64,4096,8192,8192,8192,1,1,2712069,25,t0,5,random,1,local,0,1,"0:0",128,128,0.999,44716021,22.35,2.88,22228.807
8,64,4096,8192,8192,8192,1,1,2712069,25,t0,5,random,1,local,0,1,"0:0",128,128,0.999,44708528,22.35,2.88,22232.533
8,64,4096,8192,8192,8192,1,1,2712069,25,t0,5,random,1,local,0,1,"0:0",128,128,0.999,44715924,22.35,2.88,22228.855
8,64,4096,8192,8192,8192,1,1,2712069,25,t0,5,random,1,local,0,1,"0:0",128,128,1.000,44719320,22.35,2.88,22227.167
8,64,4096,8192,8192,8192,1,1,2711119,25,t1,5,random,1,local,0,1,"0:0",128,128,0.999,45163835,22.12,2.88,22232.278
8,64,4096,8192,8192,8192,1,1,2711119,25,t1,5,random,1,local,0,1,"0:0",128,128,0.999,45170627,22.12,2.88,22228.935
8,64,4096,8192,8192,8192,1,1,2711119,25,t1,5,random,1,local,0,1,"0:0",128,128,0.999,45163748,22.12,2.88,22232.321
8,64,4096,8192,8192,8192,1,1,2711119,25,t1,5,random,1,local,0,1,"0:0",128,128,0.999,45168088,22.12,2.88,22230.185
8,64,4096,8192,8192,8192,1,1,2711119,25,t1,5,random,1,local,0,1,"0:0",128,128,0.999,45168737,22.12,2.88,22229.865
8,64,4096,8192,8192,8192,1,1,2712819,25,t2,5,random,1,local,0,1,"0:0",128,128,1.000,45193590,22.12,2.88,22231.572
8,64,4096,8192,8192,8192,1,1,2712819,25,t2,5,random,1,local,0,1,"0:0",128,128,1.000,45203889,22.12,2.88,22226.507
8,64,4096,8192,8192,8192,1,1,2712819,25,t2,5,random,1,local,0,1,"0:0",128,128,1.000,45196103,22.12,2.88,22230.336
8,64,4096,8192,8192,8192,1,1,2712819,25,t2,5,random,1,local,0,1,"0:0",128,128,1.000,45199810,22.12,2.88,22228.513
8,64,4096,8192,8192,8192,1,1,2712819,25,t2,5,random,1,local,0,1,"0:0",128,128,1.000,45193358,22.12,2.88,22231.687
8,64,4096,8192,8192,8192,1,1,2808956,25,none,5,forward,1,local,0,1,"0:0",128,128,1.001,45235627,22.12,2.78,22998.024
8,64,4096,8192,8192,8192,1,1,2808956,25,none,5,forward,1,local,0,1,"0:0",128,128,1.000,45231319,22.12,2.78,23000.214
8,64,4096,8192,8192,8192,1,1,2808956,25,none,5,forward,1,local,0,1,"0:0",128,128,1.001,45237268,22.12,2.78,22997.190
8,64,4096,8192,8192,8192,1,1,2808956,25,none,5,forward,1,local,0,1,"0:0",128,128,1.001,45236285,22.12,2.78,22997.690
8,64,4096,8192,8192,8192,1,1,2808956,25,none,5,forward,1,local,0,1,"0:0",128,128,1.001,45234483,22.12,2.78,22998.605
8,64,4096,8192,8192,8192,1,1,2716283,25,nta,5,forward,1,local,0,1,"0:0",128,128,1.001,44333697,22.58,2.88,22223.842
8,64,4096,8192,8192,8192,1,1,2716283,25,nta,5,forward,1,local,0,1,"0:0",128,128,1.001,44335275,22.58,2.88,22223.051
8,64,4096,8192,8192,8192,1,1,2716283,25,nta,5,forward,1,local,0,1,"0:0",128,128,1.001,44334248,22.58,2.88,22223.566
8,64,4096,8192,8192,8192,1,1,2716283,25,nta,5,forward,1,local,0,1,"0:0",128,128,1.001,44325330,22.58,2.88,22228.037
8,64,4096,8192,8192,8192,1,1,2716283,25,nta,5,forward,1,local,0,1,"0:0",128,128,1.001,44329593,22.58,2.88,22225.899
8,64,4096,8192,8192,8192,1,1,2711493,25,t0,5,forward,1,local,0,1,"0:0",128,128,0.999,45179211,22.12,2.88,22227.778
8,64,4096,8192,8192,8192,1,1,2711493,25,t0,5,forward,1,local,0,1,"0:0",128,128,0.999,45178332,22.12,2.88,22228.210
8,64,4096,8192,8192,8192,1,1,2711493,25,t0,5,forward,1,local,0,1,"0:0",128,128,0.999,45178589,22.12,2.88,22228.084
8,64,4096,8192,8192,8192,1,1,2711493,25,t0,5,forward,1,local,0,1,"0:0",128,128,0.999,45174880,22.12,2.88,22229.909
8,64,4096,8192,8192,8192,1,1,2711493,25,t0,5,forward,1,local,0,1,"0:0",128,128,1.000,45230405,22.12,2.88,22202.619
8,64,4096,8192,8192,8192,1,1,2716295,25,t1,5,forward,1,local,0,1,"0:0",128,128,1.001,45261057,22.12,2.88,22226.877
8,64,4096,8192,8192,8192,1,1,2716295,25,t1,5,forward,1,local,0,1,"0:0",128,128,1.001,45256604,22.12,2.88,22229.064
8,64,4096,8192,8192,8192,1,1,2716295,25,t1,5,forward,1,local,0,1,"0:0",128,128,1.001,45263837,22.12,2.88,22225.512
8,64,4096,8192,8192,8192,1,1,2716295,25,t1,5,forward,1,local,0,1,"0:0",128,128,1.001,45256601,22.12,2.88,22229.065
8,64,4096,8192,8192,8192,1,1,2716295,25,t1,5,forward,1,local,0,1,"0:0",128,128,1.001,45260686,22.12,2.88,22227.059
8,64,4096,8192,8192,8192,1,1,2710264,25,t2,5,forward,1,local,0,1,"0:0",128,128,0.999,45156737,22.12,2.88,22228.760
8,64,4096,8192,8192,8192,1,1,2710264,25,t2,5,forward,1,local,0,1,"0:0",128,128,0.999,45152594,22.12,2.88,22230.800
8,64,4096,8192,8192,8192,1,1,2710264,25,t2,5,forward,1,local,0,1,"0:0",128,128,0.999,45161824,22.12,2.88,22226.257
8,64,4096,8192,8192,8192,1,1,2710264,25,t2,5,forward,1,local,0,1,"0:0",128,128,0.999,45155130,22.12,2.88,22229.551
