Number of threads: 
Job ID: 3113
Machine: penguin 

/usr/lib64/qt-3.3/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/util:/home/jlenis/bin:/opt/intel/bin:/home/jlenis/numa_benchmark/bin/others/pChase/build:/opt/util:/home/jlenis/bin:/opt/intel/bin:/home/jlenis/numa_benchmark/bin/others/pChase/build
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 11: date: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 14: mkdir: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 15: cd: chase-: No such file or directory
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 18: uname: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 19: cat: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 20: cat: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 27: date: command not found
Benchmark initiated at
pointer size (bytes),cache line size (bytes),page size (bytes),chain size (bytes),thread size (bytes),test size (bytes),chains per thread,number of threads,iterations,loop length,prefetch hint,experiments,access pattern,stride,numa placement,offset or mask,numa domains,domain map,operations per chain,total operations,elapsed time (seconds),elapsed time (timer ticks),clock resolution (ns),memory latency (ns),memory bandwidth (MB/s)
8,64,4096,8192,8192,8192,1,1,2799559,25,none,5,random,1,local,0,1,"0:0",128,128,1.002,44850173,22.35,2.80,22877.263
8,64,4096,8192,8192,8192,1,1,2799559,25,none,5,random,1,local,0,1,"0:0",128,128,1.003,44876872,22.35,2.80,22863.653
8,64,4096,8192,8192,8192,1,1,2799559,25,none,5,random,1,local,0,1,"0:0",128,128,1.003,44863324,22.35,2.80,22870.557
8,64,4096,8192,8192,8192,1,1,2799559,25,none,5,random,1,local,0,1,"0:0",128,128,1.004,44936488,22.35,2.80,22833.320
8,64,4096,8192,8192,8192,1,1,2799559,25,none,5,random,1,local,0,1,"0:0",128,128,1.006,44993002,22.35,2.81,22804.640
8,64,4096,8192,8192,8192,1,1,2196374,25,nta,5,random,1,local,0,1,"0:0",128,128,1.001,38376839,26.08,3.56,17979.138
8,64,4096,8192,8192,8192,1,1,2196374,25,nta,5,random,1,local,0,1,"0:0",128,128,1.002,38407911,26.08,3.56,17964.593
8,64,4096,8192,8192,8192,1,1,2196374,25,nta,5,random,1,local,0,1,"0:0",128,128,1.001,38372477,26.08,3.56,17981.182
8,64,4096,8192,8192,8192,1,1,2196374,25,nta,5,random,1,local,0,1,"0:0",128,128,1.002,38407880,26.08,3.56,17964.608
8,64,4096,8192,8192,8192,1,1,2196374,25,nta,5,random,1,local,0,1,"0:0",128,128,1.001,38369511,26.08,3.56,17982.572
8,64,4096,8192,8192,8192,1,1,2197786,25,t0,5,random,1,local,0,1,"0:0",128,128,1.002,33625284,29.80,3.56,17966.326
8,64,4096,8192,8192,8192,1,1,2197786,25,t0,5,random,1,local,0,1,"0:0",128,128,1.001,33596796,29.80,3.56,17981.561
8,64,4096,8192,8192,8192,1,1,2197786,25,t0,5,random,1,local,0,1,"0:0",128,128,1.003,33640171,29.80,3.56,17958.375
8,64,4096,8192,8192,8192,1,1,2197786,25,t0,5,random,1,local,0,1,"0:0",128,128,1.001,33596007,29.80,3.56,17981.983
8,64,4096,8192,8192,8192,1,1,2197786,25,t0,5,random,1,local,0,1,"0:0",128,128,1.002,33624161,29.80,3.56,17966.926
8,64,4096,8192,8192,8192,1,1,2197912,25,t1,5,random,1,local,0,1,"0:0",128,128,1.002,38430705,26.08,3.56,17966.511
8,64,4096,8192,8192,8192,1,1,2197912,25,t1,5,random,1,local,0,1,"0:0",128,128,1.001,38400424,26.08,3.56,17980.678
8,64,4096,8192,8192,8192,1,1,2197912,25,t1,5,random,1,local,0,1,"0:0",128,128,1.002,38428427,26.08,3.56,17967.575
8,64,4096,8192,8192,8192,1,1,2197912,25,t1,5,random,1,local,0,1,"0:0",128,128,1.001,38399717,26.08,3.56,17981.009
8,64,4096,8192,8192,8192,1,1,2197912,25,t1,5,random,1,local,0,1,"0:0",128,128,1.002,38434136,26.08,3.56,17964.906
8,64,4096,8192,8192,8192,1,1,2199629,25,t2,5,random,1,local,0,1,"0:0",128,128,1.002,43042192,23.28,3.56,17980.628
8,64,4096,8192,8192,8192,1,1,2199629,25,t2,5,random,1,local,0,1,"0:0",128,128,1.003,43070644,23.28,3.56,17968.750
8,64,4096,8192,8192,8192,1,1,2199629,25,t2,5,random,1,local,0,1,"0:0",128,128,1.004,43113621,23.28,3.57,17950.839
8,64,4096,8192,8192,8192,1,1,2199629,25,t2,5,random,1,local,0,1,"0:0",128,128,1.004,43110674,23.28,3.57,17952.066
8,64,4096,8192,8192,8192,1,1,2199629,25,t2,5,random,1,local,0,1,"0:0",128,128,1.002,43043440,23.28,3.56,17980.107
8,64,4096,8192,8192,8192,1,1,2797949,25,none,5,forward,1,local,0,1,"0:0",128,128,1.002,38415802,26.08,2.80,22880.298
8,64,4096,8192,8192,8192,1,1,2797949,25,none,5,forward,1,local,0,1,"0:0",128,128,1.003,38448733,26.08,2.80,22860.701
8,64,4096,8192,8192,8192,1,1,2797949,25,none,5,forward,1,local,0,1,"0:0",128,128,1.002,38419940,26.08,2.80,22877.834
8,64,4096,8192,8192,8192,1,1,2797949,25,none,5,forward,1,local,0,1,"0:0",128,128,1.002,38441117,26.08,2.80,22865.230
