triad;26350.7;46654.4;68186.4;78275.8;85155.8;26350.7;;26350.70;1.77;2.59;2.97;3.23;;;;;triad;26350.70;1.77;2.59;2.97;3.23
cycles;8.69689E+11;8.53203E+11;1.16893E+12;1.55984E+12;1.94958E+12;8.53203E+11;;1.02;853202834092.00;1.37;1.83;2.29;;;;;cycles;1.02;853202834092.00;1.37;1.83;2.29
instructions;3.44048E+11;3.39157E+11;3.40186E+11;3.54551E+11;3.49628E+11;3.39157E+11;;1.01;339156677079.00;1.00;1.05;1.03;;;;;instructions;1.01;339156677079.00;1.00;1.05;1.03
cache-misses;85553355;89959152;110672321;102737691;121156928;85553355;;85553355.00;1.05;1.29;1.20;1.42;;;;;cache-misses;85553355.00;1.05;1.29;1.20;1.42
cache-references;1.43289E+11;1.43483E+11;1.42068E+11;1.35787E+11;1.28054E+11;1.28054E+11;;1.12;1.12;1.11;1.06;128053626429.00;;;;;cache-references;1.12;1.12;1.11;1.06;128053626429.00
faults;12717;12735;12769;12803;12839;12717;;12717.00;1.00;1.00;1.01;1.01;;;;;faults;12717.00;1.00;1.00;1.01;1.01
migrations;9;15;36;53;66;9;;9.00;1.67;4.00;5.89;7.33;;;;;migrations;9.00;1.67;4.00;5.89;7.33
time;68.29035685;43.17511402;37.21752763;36.1838265;35.37514098;35.37514098;;1.93;1.22;1.05;1.02;35.38;;;;;time;1.93;1.22;1.05;1.02;35.38
;20;20;20;20;20;20;;20.00;20.00;20.00;20.00;20.00;;;;;;20;20;20;20;20
copy;28573.2;49233.1;74252.4;76110.6;80508.9;28573.2;;28573.20;1.72;2.60;2.66;2.82;;;;;copy;28573.20;1.72;2.60;2.66;2.82
scale;29370.2;48004.1;72260.5;76692;81118.3;29370.2;;29370.20;1.63;2.46;2.61;2.76;;;;;scale;29370.20;1.63;2.46;2.61;2.76
add;25605.3;44063;67846.9;78057.4;85826.2;25605.3;;25605.30;1.72;2.65;3.05;3.35;;;;;add;25605.30;1.72;2.65;3.05;3.35
triad;25714.8;43894.4;67583.9;74885.7;84162.5;25714.8;;25714.80;1.71;2.63;2.91;3.27;;;;;triad;25714.80;1.71;2.63;2.91;3.27
cycles;1.71462E+12;1.99593E+12;2.47836E+12;3.24876E+12;3.90291E+12;1.71462E+12;;1714621044327.00;1.16;1.45;1.89;2.28;;;;;cycles;1714621044327.00;1.16;1.45;1.89;2.28
instructions;6.66479E+11;6.82125E+11;6.7592E+11;7.08257E+11;6.90513E+11;6.66479E+11;;666478999457.00;1.02;1.01;1.06;1.04;;;;;instructions;666478999457.00;1.02;1.01;1.06;1.04
cache-misses;170005771;192840980;224107726;210217004;245206554;170005771;;170005771.00;1.13;1.32;1.24;1.44;;;;;cache-misses;170005771.00;1.13;1.32;1.24;1.44
cache-references;2.89854E+11;2.95341E+11;2.88483E+11;2.81168E+11;2.66243E+11;2.66243E+11;;1.09;1.11;1.08;1.06;266243390245.00;;;;;cache-references;1.09;1.11;1.08;1.06;266243390245.00
faults;24717;24735;24770;24803;24839;24717;;24717.00;1.00;1.00;1.00;1.00;;;;;faults;24717.00;1.00;1.00;1.00;1.00
migrations;8;20;33;51;66;8;;8.00;2.50;4.13;6.38;8.25;;;;;migrations;8.00;2.50;4.13;6.38;8.25
time;129.0323487;97.6425926;81.03310976;77.97439625;75.73592888;75.73592888;;1.70;1.29;1.07;1.03;75.74;;;;;time;1.70;1.29;1.07;1.03;75.74
