time;12.3390982;8.888548452;7.730572461;7.409186602;7.457476822;7.409186602;;1.67;1.2;1.04;7.41;1.01;;;;;time;1.665378247;1.199665892;1.043376672;7.409186602;1.006517614;;;time;12.3390982;8.888548452;7.730572461;7.409186602;7.457476822;7.409186602;;;;;;
;5;5;5;5;5;5;;5;5;5;5;5;;;;;;5;5;5;5;5;;;;5;5;5;5;5;5;;;;;;
copy;31117.3;56130.6;74457.5;76380.8;78741.1;31117.3;;31117.3;1.8;2.39;2.45;2.53;;;;;copy;31117.3;1.803839022;2.392800789;2.454608851;2.530460548;;;copy;31117.3;56130.6;74457.5;76380.8;78741.1;31117.3;;;;;;
scale;30812;56130.2;75991.3;75977.6;78498;30812;;30812;1.82;2.47;2.47;2.55;;;;;scale;30812;1.821699338;2.466289108;2.465844476;2.547643775;;;scale;30812;56130.2;75991.3;75977.6;78498;30812;;;;;;
add;26063.2;47277;68805.7;78820.5;83791.6;26063.2;;26063.2;1.81;2.64;3.02;3.21;;;;;add;26063.2;1.813936892;2.639955953;3.024206544;3.214939071;;;add;26063.2;47277;68805.7;78820.5;83791.6;26063.2;;;;;;
triad;27250.3;49372.6;68138.8;78011.8;83614.1;27250.3;;27250.3;1.81;2.5;2.86;3.07;;;;;triad;27250.3;1.811818585;2.500478894;2.862786832;3.068373559;;;triad;27250.3;49372.6;68138.8;78011.8;83614.1;27250.3;;;;;;
cycles;3.57E+11;4.01E+11;5.92E+11;7.96E+11;1.01E+12;3.57E+11;;3.5707E+11;1.12;1.66;2.23;2.83;;;;;cycles;3.57E+11;1.12420131;1.658265055;2.228925015;2.831129922;;;cycles;3.57E+11;4.01E+11;5.92E+11;7.96E+11;1.01E+12;3.57E+11;;;;;;
instructions;1.66E+11;1.68E+11;1.72E+11;1.80E+11;1.79E+11;1.66E+11;;1.65935E+11;1.01;1.04;1.08;1.08;;;;;instructions;1.66E+11;1.012273378;1.039411952;1.083237106;1.076325552;;;instructions;1.66E+11;1.68E+11;1.72E+11;1.80E+11;1.79E+11;1.66E+11;;;;;;
cache-misses;39750840;43438358;55443435;52007060;61184969;39750840;;39750840;1.09;1.39;1.31;1.54;;;;;cache-misses;39750840;1.092765788;1.394773922;1.308326063;1.539211976;;;cache-misses;39750840;43438358;55443435;52007060;61184969;39750840;;;;;;
cache-references;71507122709;71313837886;70592140594;68038390278;64883776963;64883776963;;1.1;1.1;1.09;1.05;64883776963;;;;;cache-references;1.102080151;1.099101212;1.087978288;1.048619446;64883776963;;;cache-references;71507122709;71313837886;70592140594;68038390278;64883776963;64883776963;;;;;;
