8 nodes available
memory interleaved on 3 4,STREAM,Copy,3395.25,MB/s,Scale,3383.94,MB/s,Add,3749.61,MB/s,Triad,3353.63,MB/s
memory interleaved on 0 3 4,STREAM,Copy,3223.38,MB/s,Scale,4000.28,MB/s,Add,4278.87,MB/s,Triad,3535.31,MB/s
memory interleaved on 1 3 4,STREAM,Copy,3154.69,MB/s,Scale,4133.96,MB/s,Add,4332.41,MB/s,Triad,3704.82,MB/s
memory interleaved on 0 1 3 4,STREAM,Copy,4144.72,MB/s,Scale,3754.09,MB/s,Add,4492.81,MB/s,Triad,3741.85,MB/s
memory interleaved on 2 3 4,STREAM,Copy,3294.30,MB/s,Scale,4017.06,MB/s,Add,4242.31,MB/s,Triad,3641.39,MB/s
memory interleaved on 0 2 3 4,STREAM,Copy,4111.10,MB/s,Scale,3827.48,MB/s,Add,4501.50,MB/s,Triad,3720.20,MB/s
memory interleaved on 1 2 3 4,STREAM,Copy,4231.05,MB/s,Scale,3839.90,MB/s,Add,4520.12,MB/s,Triad,3868.27,MB/s
memory interleaved on 0 1 2 3 4,STREAM,Copy,4241.55,MB/s,Scale,4263.78,MB/s,Add,5172.52,MB/s,Triad,4000.83,MB/s
memory interleaved on 0 5,STREAM,Copy,4017.97,MB/s,Scale,3996.15,MB/s,Add,4712.28,MB/s,Triad,3911.88,MB/s
memory interleaved on 1 5,STREAM,Copy,4068.50,MB/s,Scale,4060.23,MB/s,Add,4573.76,MB/s,Triad,4216.91,MB/s
memory interleaved on 0 1 5,STREAM,Copy,3654.02,MB/s,Scale,4479.91,MB/s,Add,4908.14,MB/s,Triad,4094.40,MB/s
memory interleaved on 2 5,STREAM,Copy,4339.76,MB/s,Scale,4332.26,MB/s,Add,4946.12,MB/s,Triad,4320.99,MB/s
memory interleaved on 0 2 5,STREAM,Copy,3951.69,MB/s,Scale,4590.25,MB/s,Add,5143.63,MB/s,Triad,4166.98,MB/s
memory interleaved on 1 2 5,STREAM,Copy,3860.66,MB/s,Scale,4873.48,MB/s,Add,5185.84,MB/s,Triad,4466.60,MB/s
memory interleaved on 0 1 2 5,STREAM,Copy,4632.58,MB/s,Scale,4249.81,MB/s,Add,5078.60,MB/s,Triad,4236.68,MB/s
memory interleaved on 3 5,STREAM,Copy,4014.54,MB/s,Scale,3986.37,MB/s,Add,4708.91,MB/s,Triad,3903.73,MB/s
memory interleaved on 0 3 5,STREAM,Copy,3777.45,MB/s,Scale,4341.64,MB/s,Add,4941.22,MB/s,Triad,3896.75,MB/s
memory interleaved on 1 3 5,STREAM,Copy,3691.28,MB/s,Scale,4561.79,MB/s,Add,4989.64,MB/s,Triad,4128.90,MB/s
memory interleaved on 0 1 3 5,STREAM,Copy,4447.14,MB/s,Scale,4084.91,MB/s,Add,4948.66,MB/s,Triad,4017.68,MB/s
memory interleaved on 2 3 5,STREAM,Copy,3868.80,MB/s,Scale,4406.50,MB/s,Add,4867.34,MB/s,Triad,4042.17,MB/s
memory interleaved on 0 2 3 5,STREAM,Copy,4409.30,MB/s,Scale,4174.44,MB/s,Add,4950.53,MB/s,Triad,3983.35,MB/s
memory interleaved on 1 2 3 5,STREAM,Copy,4571.07,MB/s,Scale,4216.21,MB/s,Add,4958.99,MB/s,Triad,4172.44,MB/s
memory interleaved on 0 1 2 3 5,STREAM,Copy,4496.94,MB/s,Scale,4512.02,MB/s,Add,5370.71,MB/s,Triad,4185.77,MB/s
memory interleaved on 4 5,STREAM,Copy,3295.56,MB/s,Scale,3287.65,MB/s,Add,3638.09,MB/s,Triad,3471.64,MB/s
memory interleaved on 0 4 5,STREAM,Copy,3192.29,MB/s,Scale,4057.65,MB/s,Add,4317.10,MB/s,Triad,3698.16,MB/s
memory interleaved on 1 4 5,STREAM,Copy,3126.06,MB/s,Scale,4212.42,MB/s,Add,4343.72,MB/s,Triad,3881.60,MB/s
memory interleaved on 0 1 4 5,STREAM,Copy,4231.05,MB/s,Scale,3718.74,MB/s,Add,4467.14,MB/s,Triad,3848.28,MB/s
memory interleaved on 2 4 5,STREAM,Copy,3315.40,MB/s,Scale,4218.54,MB/s,Add,4454.83,MB/s,Triad,3910.13,MB/s
memory interleaved on 0 2 4 5,STREAM,Copy,4268.52,MB/s,Scale,3847.07,MB/s,Add,4606.91,MB/s,Triad,3888.64,MB/s
memory interleaved on 1 2 4 5,STREAM,Copy,4397.09,MB/s,Scale,3883.40,MB/s,Add,4612.39,MB/s,Triad,4065.02,MB/s
memory interleaved on 0 1 2 4 5,STREAM,Copy,4347.89,MB/s,Scale,4391.57,MB/s,Add,5314.90,MB/s,Triad,4177.08,MB/s
memory interleaved on 3 4 5,STREAM,Copy,3198.44,MB/s,Scale,4069.44,MB/s,Add,4330.12,MB/s,Triad,3705.33,MB/s
memory interleaved on 0 3 4 5,STREAM,Copy,4132.23,MB/s,Scale,3737.06,MB/s,Add,4480.71,MB/s,Triad,3717.82,MB/s
memory interleaved on 1 3 4 5,STREAM,Copy,4248.51,MB/s,Scale,3758.54,MB/s,Add,4498.77,MB/s,Triad,3869.01,MB/s
memory interleaved on 0 1 3 4 5,STREAM,Copy,4227.44,MB/s,Scale,4258.36,MB/s,Add,5174.82,MB/s,Triad,3987.74,MB/s
memory interleaved on 2 3 4 5,STREAM,Copy,4189.47,MB/s,Scale,3806.64,MB/s,Add,4455.03,MB/s,Triad,3831.38,MB/s
memory interleaved on 0 2 3 4 5,STREAM,Copy,4216.71,MB/s,Scale,4237.67,MB/s,Add,5134.56,MB/s,Triad,3969.31,MB/s
memory interleaved on 1 2 3 4 5,STREAM,Copy,4325.78,MB/s,Scale,4331.15,MB/s,Add,5260.00,MB/s,Triad,4136.40,MB/s
memory interleaved on 0 1 2 3 4 5,STREAM,Copy,4372.34,MB/s,Scale,4284.45,MB/s,Add,5255.75,MB/s,Triad,4073.89,MB/s
memory interleaved on 0 6,STREAM,Copy,4486.54,MB/s,Scale,4474.46,MB/s,Add,5155.47,MB/s,Triad,4122.88,MB/s
memory interleaved on 1 6,STREAM,Copy,4622.75,MB/s,Scale,4632.22,MB/s,Add,5272.92,MB/s,Triad,4619.91,MB/s
memory interleaved on 0 1 6,STREAM,Copy,4169.72,MB/s,Scale,4571.32,MB/s,Add,5198.97,MB/s,Triad,4243.87,MB/s
memory interleaved on 2 6,STREAM,Copy,4993.56,MB/s,Scale,4998.92,MB/s,Add,5821.53,MB/s,Triad,4767.13,MB/s
memory interleaved on 0 2 6,STREAM,Copy,4583.64,MB/s,Scale,4707.10,MB/s,Add,5500.85,MB/s,Triad,4330.10,MB/s
memory interleaved on 1 2 6,STREAM,Copy,4481.93,MB/s,Scale,5039.33,MB/s,Add,5610.65,MB/s,Triad,4713.32,MB/s
memory interleaved on 0 1 2 6,STREAM,Copy,4728.40,MB/s,Scale,4498.36,MB/s,Add,5306.03,MB/s,Triad,4360.16,MB/s
memory interleaved on 3 6,STREAM,Copy,4553.18,MB/s,Scale,4531.37,MB/s,Add,5361.34,MB/s,Triad,4165.47,MB/s
memory interleaved on 0 3 6,STREAM,Copy,4348.65,MB/s,Scale,4434.77,MB/s,Add,5243.68,MB/s,Triad,4018.29,MB/s
memory interleaved on 1 3 6,STREAM,Copy,4256.04,MB/s,Scale,4696.05,MB/s,Add,5351.81,MB/s,Triad,4305.91,MB/s
memory interleaved on 0 1 3 6,STREAM,Copy,4539.00,MB/s,Scale,4310.89,MB/s,Add,5148.91,MB/s,Triad,4100.98,MB/s
memory interleaved on 2 3 6,STREAM,Copy,4465.94,MB/s,Scale,4526.08,MB/s,Add,5179.15,MB/s,Triad,4211.98,MB/s
memory interleaved on 0 2 3 6,STREAM,Copy,4503.89,MB/s,Scale,4413.46,MB/s,Add,5143.36,MB/s,Triad,4069.91,MB/s
memory interleaved on 1 2 3 6,STREAM,Copy,4681.58,MB/s,Scale,4465.90,MB/s,Add,5181.21,MB/s,Triad,4284.26,MB/s
memory interleaved on 0 1 2 3 6,STREAM,Copy,4570.78,MB/s,Scale,4583.66,MB/s,Add,5426.87,MB/s,Triad,4234.97,MB/s
memory interleaved on 4 6,STREAM,Copy,3650.97,MB/s,Scale,3658.61,MB/s,Add,3967.37,MB/s,Triad,3667.38,MB/s
memory interleaved on 0 4 6,STREAM,Copy,3585.22,MB/s,Scale,4119.35,MB/s,Add,4490.11,MB/s,Triad,3806.78,MB/s
memory interleaved on 1 4 6,STREAM,Copy,3522.19,MB/s,Scale,4315.92,MB/s,Add,4621.93,MB/s,Triad,4047.91,MB/s
memory interleaved on 0 1 4 6,STREAM,Copy,4294.98,MB/s,Scale,3894.66,MB/s,Add,4614.59,MB/s,Triad,3925.32,MB/s
memory interleaved on 2 4 6,STREAM,Copy,3767.64,MB/s,Scale,4331.73,MB/s,Add,4757.83,MB/s,Triad,4078.63,MB/s
memory interleaved on 0 2 4 6,STREAM,Copy,4341.39,MB/s,Scale,4040.53,MB/s,Add,4763.88,MB/s,Triad,3962.87,MB/s
memory interleaved on 1 2 4 6,STREAM,Copy,4497.53,MB/s,Scale,4091.36,MB/s,Add,4809.75,MB/s,Triad,4173.59,MB/s
memory interleaved on 0 1 2 4 6,STREAM,Copy,4408.77,MB/s,Scale,4456.22,MB/s,Add,5371.81,MB/s,Triad,4232.58,MB/s
memory interleaved on 3 4 6,STREAM,Copy,3614.18,MB/s,Scale,4147.91,MB/s,Add,4591.98,MB/s,Triad,3829.58,MB/s
memory interleaved on 0 3 4 6,STREAM,Copy,4192.22,MB/s,Scale,3912.74,MB/s,Add,4628.86,MB/s,Triad,3787.66,MB/s
memory interleaved on 1 3 4 6,STREAM,Copy,4334.38,MB/s,Scale,3950.98,MB/s,Add,4685.11,MB/s,Triad,3967.98,MB/s
memory interleaved on 0 1 3 4 6,STREAM,Copy,4287.07,MB/s,Scale,4318.61,MB/s,Add,5225.88,MB/s,Triad,4032.38,MB/s
memory interleaved on 2 3 4 6,STREAM,Copy,4275.78,MB/s,Scale,3992.74,MB/s,Add,4647.14,MB/s,Triad,3925.64,MB/s
