8 nodes available
memory interleaved on 0 1 3,STREAM,Copy,3782.78,MB/s,Scale,4276.88,MB/s,Add,4901.79,MB/s,Triad,3852.51,MB/s
memory interleaved on 2 3,STREAM,Copy,3863.72,MB/s,Scale,3855.85,MB/s,Add,4198.49,MB/s,Triad,3665.09,MB/s
memory interleaved on 0 2 3,STREAM,Copy,4030.06,MB/s,Scale,4191.40,MB/s,Add,4842.37,MB/s,Triad,3803.96,MB/s
memory interleaved on 1 2 3,STREAM,Copy,3919.15,MB/s,Scale,4403.19,MB/s,Add,4904.33,MB/s,Triad,4038.86,MB/s
memory interleaved on 0 1 2 3,STREAM,Copy,4377.77,MB/s,Scale,4372.15,MB/s,Add,5230.38,MB/s,Triad,4025.40,MB/s
memory interleaved on 0 4,STREAM,Copy,3362.24,MB/s,Scale,3375.75,MB/s,Add,3738.51,MB/s,Triad,3338.68,MB/s
memory interleaved on 1 4,STREAM,Copy,3360.01,MB/s,Scale,3358.22,MB/s,Add,3726.19,MB/s,Triad,3512.63,MB/s
memory interleaved on 0 1 4,STREAM,Copy,3157.08,MB/s,Scale,4062.24,MB/s,Add,4304.39,MB/s,Triad,3670.05,MB/s
memory interleaved on 2 4,STREAM,Copy,3540.48,MB/s,Scale,3537.54,MB/s,Add,3896.37,MB/s,Triad,3549.89,MB/s
memory interleaved on 0 2 4,STREAM,Copy,3392.21,MB/s,Scale,4114.78,MB/s,Add,4460.47,MB/s,Triad,3715.67,MB/s
memory interleaved on 1 2 4,STREAM,Copy,3313.73,MB/s,Scale,4293.95,MB/s,Add,4511.46,MB/s,Triad,3925.65,MB/s
memory interleaved on 0 1 2 4,STREAM,Copy,4259.33,MB/s,Scale,4261.65,MB/s,Add,5223.40,MB/s,Triad,4054.65,MB/s
memory interleaved on 3 4,STREAM,Copy,3378.46,MB/s,Scale,3392.94,MB/s,Add,3770.47,MB/s,Triad,3355.07,MB/s
memory interleaved on 0 3 4,STREAM,Copy,3262.87,MB/s,Scale,3976.87,MB/s,Add,4312.50,MB/s,Triad,3524.32,MB/s
memory interleaved on 1 3 4,STREAM,Copy,3190.16,MB/s,Scale,4120.15,MB/s,Add,4373.66,MB/s,Triad,3702.30,MB/s
memory interleaved on 0 1 3 4,STREAM,Copy,4127.24,MB/s,Scale,4136.25,MB/s,Add,5068.18,MB/s,Triad,3848.83,MB/s
memory interleaved on 2 3 4,STREAM,Copy,3341.11,MB/s,Scale,3996.97,MB/s,Add,4274.88,MB/s,Triad,3634.62,MB/s
memory interleaved on 0 2 3 4,STREAM,Copy,4084.84,MB/s,Scale,4099.48,MB/s,Add,4997.57,MB/s,Triad,3816.70,MB/s
memory interleaved on 1 2 3 4,STREAM,Copy,4218.19,MB/s,Scale,4229.14,MB/s,Add,5153.75,MB/s,Triad,4015.90,MB/s
memory interleaved on 0 1 2 3 4,STREAM,Copy,4235.95,MB/s,Scale,4230.70,MB/s,Add,5161.81,MB/s,Triad,3969.13,MB/s
memory interleaved on 0 5,STREAM,Copy,3998.62,MB/s,Scale,3992.71,MB/s,Add,4729.62,MB/s,Triad,3898.52,MB/s
memory interleaved on 1 5,STREAM,Copy,4051.24,MB/s,Scale,4063.97,MB/s,Add,4595.65,MB/s,Triad,4222.93,MB/s
memory interleaved on 0 1 5,STREAM,Copy,3649.46,MB/s,Scale,4474.09,MB/s,Add,4911.80,MB/s,Triad,4074.70,MB/s
memory interleaved on 2 5,STREAM,Copy,4334.39,MB/s,Scale,4347.98,MB/s,Add,4984.06,MB/s,Triad,4334.25,MB/s
memory interleaved on 0 2 5,STREAM,Copy,3975.56,MB/s,Scale,4567.56,MB/s,Add,5157.01,MB/s,Triad,4151.86,MB/s
memory interleaved on 1 2 5,STREAM,Copy,3877.35,MB/s,Scale,4866.08,MB/s,Add,5208.79,MB/s,Triad,4474.80,MB/s
memory interleaved on 0 1 2 5,STREAM,Copy,4632.05,MB/s,Scale,4629.93,MB/s,Add,5528.48,MB/s,Triad,4338.44,MB/s
memory interleaved on 3 5,STREAM,Copy,4005.84,MB/s,Scale,3993.62,MB/s,Add,4732.03,MB/s,Triad,3891.63,MB/s
